,Year,Intervals,Count
0,1990,<=25.4,2
1,1990,>25.4,0
2,1991,<=25.4,0
3,1991,>25.4,1
4,1992,<=25.4,3
5,1992,>25.4,0
6,1993,<=25.4,3
7,1993,>25.4,4
8,1994,<=25.4,3
9,1994,>25.4,2
10,1995,<=25.4,3
11,1995,>25.4,3
12,1996,<=25.4,0
13,1996,>25.4,4
14,1997,<=25.4,2
15,1997,>25.4,1
16,1998,<=25.4,2
17,1998,>25.4,0
18,1999,<=25.4,4
19,1999,>25.4,0
20,2000,<=25.4,1
21,2000,>25.4,2
22,2001,<=25.4,0
23,2001,>25.4,1
24,2002,<=25.4,3
25,2002,>25.4,2
26,2003,<=25.4,1
27,2003,>25.4,2
28,2004,<=25.4,2
29,2004,>25.4,1
30,2005,<=25.4,3
31,2005,>25.4,1
32,2006,<=25.4,0
33,2006,>25.4,1
34,2007,<=25.4,5
35,2007,>25.4,1
36,2008,<=25.4,1
37,2008,>25.4,0
38,2009,<=25.4,3
39,2009,>25.4,0
40,2010,<=25.4,2
41,2010,>25.4,2
42,2011,<=25.4,1
43,2011,>25.4,1
44,2012,<=25.4,1
45,2012,>25.4,1
46,2014,<=25.4,1
47,2014,>25.4,0
48,2015,<=25.4,0
49,2015,>25.4,3
50,2016,<=25.4,0
51,2016,>25.4,2
52,2017,<=25.4,0
53,2017,>25.4,1
54,2019,<=25.4,1
55,2019,>25.4,1
56,2020,<=25.4,1
57,2020,>25.4,0
